t,src,x,y,z,r,roll,pitch,azimuth,flight_mode,armed,airborne
1764598715.718155,gui,0.0,0.0,0.0,0.0,0.0016,-0.0000,1.5817,1,1,0
1764598715.742891,gui,0.0,0.0,0.0,0.0,0.0016,-0.0000,1.5817,1,1,0
1764598715.768335,gui,0.0,0.0,0.0,0.0,0.0016,-0.0000,1.5817,1,1,0
1764598715.793032,gui,0.0,0.0,0.0,0.0,0.0016,-0.0000,1.5817,1,1,0
1764598715.818110,gui,0.0,0.0,0.0,0.0,0.0016,-0.0000,1.5817,1,1,0
1764598715.843015,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5817,1,1,0
1764598715.868267,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5817,1,1,0
1764598715.893222,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5817,1,1,0
1764598715.917980,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5817,1,1,0
1764598715.942945,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5817,1,1,0
1764598715.968087,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5817,1,1,0
1764598715.993078,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5817,1,1,0
1764598716.018059,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5817,1,1,0
1764598716.043138,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5818,1,1,0
1764598716.068141,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5818,1,1,0
1764598716.093076,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5818,1,1,0
1764598716.118103,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5818,1,1,0
1764598716.143052,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5818,1,1,0
1764598716.168097,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5818,1,1,0
1764598716.193123,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5818,1,1,0
1764598716.218063,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5818,1,1,0
1764598716.242897,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5818,1,1,0
1764598716.268111,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5818,1,1,0
1764598716.293146,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5818,1,1,0
1764598716.318171,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5818,1,1,0
